birth_year,current_age,gender,plan,payout_start_age,ra_balance,age1,payout1,age2,payout2,age3,payout3
1971,55,M,Escalating,65,500000,65,3050,85,4540,95,5530
1971,55,M,Standard,65,500000,65,3870,85,3870,95,3870
1971,55,M,Basic,65,500000,65,3540,85,3540,95,3470
1971,55,F,Escalating,65,500000,65,2780,85,4140,95,5040
1971,55,F,Standard,65,500000,65,3610,85,3610,95,3610
1971,55,F,Basic,65,500000,65,3420,85,3420,95,3420
1971,55,M,Escalating,66,500000,66,3250,85,4730,95,5770
1971,55,M,Standard,66,500000,66,4100,85,4100,95,4100
1971,55,M,Basic,66,500000,66,3740,85,3740,95,3680
1971,55,F,Escalating,66,500000,66,2950,85,4310,95,5250
1971,55,F,Standard,66,500000,66,3810,85,3810,95,3810
1971,55,F,Basic,66,500000,66,3610,85,3610,95,3610
1971,55,M,Escalating,67,500000,67,3450,85,4930,95,6010
1971,55,M,Standard,67,500000,67,4330,85,4330,95,4330
1971,55,M,Basic,67,500000,67,3950,85,3950,95,3900
1971,55,F,Escalating,67,500000,67,3130,85,4480,95,5460
1971,55,F,Standard,67,500000,67,4020,85,4020,95,4020
1971,55,F,Basic,67,500000,67,3800,85,3800,95,3800
1971,55,M,Escalating,68,500000,68,3680,85,5160,95,6290
1971,55,M,Standard,68,500000,68,4600,85,4600,95,4600
1971,55,M,Basic,68,500000,68,4200,85,4200,95,4150
1971,55,F,Escalating,68,500000,68,3340,85,4680,95,5710
1971,55,F,Standard,68,500000,68,4260,85,4260,95,4260
1971,55,F,Basic,68,500000,68,4030,85,4030,95,4030
1971,55,M,Escalating,69,500000,69,3910,85,5360,95,6540
1971,55,M,Standard,69,500000,69,4850,85,4850,95,4850
1971,55,M,Basic,69,500000,69,4430,85,4430,95,4390
1971,55,F,Escalating,69,500000,69,3560,85,4890,95,5960
1971,55,F,Standard,69,500000,69,4520,85,4520,95,4520
1971,55,F,Basic,69,500000,69,4270,85,4270,95,4270
1971,55,M,Escalating,70,500000,70,4190,85,5630,95,6870
1971,55,M,Standard,70,500000,70,5170,85,5170,95,5170
1971,55,M,Basic,70,500000,70,4720,85,4720,95,4700
1971,55,F,Escalating,70,500000,70,3790,85,5100,95,6220
1971,55,F,Standard,70,500000,70,4780,85,4780,95,4780
1971,55,F,Basic,70,500000,70,4510,85,4510,95,4510
1970,56,M,Escalating,65,500000,65,2930,85,4360,95,5320
1970,56,M,Standard,65,500000,65,3720,85,3720,95,3720
1970,56,M,Basic,65,500000,65,3400,85,3400,95,3330
1970,56,F,Escalating,65,500000,65,2670,85,3970,95,4850
1970,56,F,Standard,65,500000,65,3470,85,3470,95,3470
1970,56,F,Basic,65,500000,65,3280,85,3280,95,3280
1970,56,M,Escalating,66,500000,66,3130,85,4560,95,5550
1970,56,M,Standard,66,500000,66,3940,85,3940,95,3940
1970,56,M,Basic,66,500000,66,3600,85,3600,95,3540
1970,56,F,Escalating,66,500000,66,2840,85,4140,95,5050
1970,56,F,Standard,66,500000,66,3670,85,3670,95,3670
1970,56,F,Basic,66,500000,66,3470,85,3470,95,3470
1970,56,M,Escalating,67,500000,67,3330,85,4750,95,5790
1970,56,M,Standard,67,500000,67,4170,85,4170,95,4170
1970,56,M,Basic,67,500000,67,3810,85,3810,95,3750
1970,56,F,Escalating,67,500000,67,3020,85,4320,95,5260
1970,56,F,Standard,67,500000,67,3870,85,3870,95,3870
1970,56,F,Basic,67,500000,67,3660,85,3660,95,3660
1970,56,M,Escalating,68,500000,68,3560,85,4980,95,6070
